seed,problem,alpha,beta,rho,num_ants,cycle,assigned_variables,total_variables,completion_rate
12345,P16_81,0.00,0.00,0.01,30,0,81,100,0.8100
12345,P16_81,0.00,0.00,0.01,30,1,82,100,0.8200
12345,P16_81,0.00,0.00,0.01,30,2,83,100,0.8300
12345,P16_81,0.00,0.00,0.01,30,3,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,4,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,5,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,6,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,7,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,8,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,9,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,10,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,11,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,12,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,13,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,14,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,15,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,16,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,17,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,18,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,19,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,20,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,21,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,22,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,23,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,24,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,25,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,26,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,27,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,28,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,29,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,30,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,31,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,32,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,33,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,34,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,35,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,36,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,37,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,38,85,100,0.8500
12345,P16_81,0.00,0.00,0.01,30,39,85,100,0.8500
