seed,problem,total_vars,alpha,beta,rho,tau_min,tau_max,num_ants,best_cycle,final_assigned,success,total_cycles,runtime_ms
12345,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,3,85,false,50,172464
12345,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,2,85,false,50,158994
12345,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,16,86,false,50,132317
12345,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,5,84,false,50,136697
23456,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,44,88,false,50,130814
23456,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,4,87,false,50,167802
23456,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,6,86,false,50,166482
23456,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,6,84,false,50,129555
34567,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,1,85,false,50,124501
34567,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,34,85,false,50,122483
34567,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,27,85,false,50,117867
34567,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,3,84,false,50,152236
45678,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,30,87,false,50,144118
45678,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,40,86,false,50,116486
45678,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,13,85,false,50,119240
45678,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,1,86,false,50,158569
56789,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,11,86,false,50,167625
56789,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,15,85,false,50,168685
56789,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,4,86,false,50,166744
56789,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,0,84,false,50,148576
67890,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,25,85,false,50,155471
67890,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,32,85,false,50,163522
67890,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,15,85,false,50,140978
67890,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,9,85,false,50,165324
78901,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,30,87,false,50,174954
78901,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,32,86,false,50,189001
78901,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,9,85,false,50,189935
78901,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,0,84,false,50,184304
89012,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,32,87,false,50,181765
89012,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,10,86,false,50,186093
89012,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,25,86,false,50,183497
89012,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,2,84,false,50,189137
90123,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,7,86,false,50,186830
