seed,problem,total_vars,alpha,beta,rho,tau_min,tau_max,num_ants,best_cycle,final_assigned,success,total_cycles,runtime_ms
12345,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,16,86,false,50,123634
12345,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,7,86,false,50,204961
12345,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,4,84,false,50,260421
23456,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,6,86,false,50,715689
23456,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,14,87,false,50,223496
23456,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,16,86,false,50,161972
34567,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,27,85,false,50,169473
34567,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,8,87,false,50,263652
34567,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,2,86,false,50,274777
45678,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,13,85,false,50,262920
45678,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,16,86,false,50,267681
45678,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,1,83,false,50,264585
56789,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,4,86,false,50,1757617
56789,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,0,84,false,50,270539
56789,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,0,84,false,50,260982
67890,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,15,85,false,50,259185
67890,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,12,84,false,50,261496
67890,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,5,85,false,50,257614
78901,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,9,85,false,50,283853
78901,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,10,87,false,50,324581
78901,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,7,85,false,50,257628
89012,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,25,86,false,50,263771
89012,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,21,86,false,50,260205
89012,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,7,85,false,50,1550511
90123,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,32,86,false,50,5031716
90123,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,0,85,false,50,183815
90123,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,0,85,false,50,2982177
101234,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,21,86,false,50,274908
101234,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,6,84,false,50,250506
101234,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,13,85,false,50,270191
12345,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,4,82,false,50,256376
12345,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,29,80,false,50,264660
12345,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,2,83,false,50,260457
23456,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,19,84,false,50,262608
23456,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,1,83,false,50,261292
23456,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,3,82,false,50,250306
34567,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,39,85,false,50,230098
34567,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,8,81,false,50,250431
34567,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,6,82,false,50,245097
45678,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,45,84,false,50,254542
45678,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,12,83,false,50,363440
45678,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,2,81,false,50,257826
56789,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,2,82,false,50,257891
56789,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,4,82,false,50,252727
56789,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,3,82,false,50,257340
67890,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,34,85,false,50,259792
67890,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,22,82,false,50,253102
67890,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,3,86,false,50,233546
78901,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,24,83,false,50,250445
78901,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,32,84,false,50,249047
78901,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,0,80,false,50,248457
89012,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,30,85,false,50,235148
89012,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,15,82,false,50,254384
89012,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,2,82,false,50,252263
90123,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,15,83,false,50,259533
90123,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,1,84,false,50,167974
90123,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,1,83,false,50,150211
101234,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,0,83,false,50,153247
